,Date,Transaction Description,Category,Amount
594,2022-02-05,Dinner article hit mission whole.,Travel,582.7
595,2022-02-05,Think live bad total research.,Shopping,1792.56
596,2022-02-06,Too song quality per build.,Health,1909.67
597,2022-02-08,We cold deep.,Travel,93.71
598,2022-02-08,Amount bad raise.,Rent,699.26
599,2022-02-09,Challenge organization floor road southern.,Travel,1497.2
600,2022-02-10,News need task mind.,Travel,1866.72
601,2022-02-10,Onto site both change note.,Utilities,227.36
602,2022-02-10,Understand none.,Other,492.49
603,2022-02-10,Test they there.,Other,1279.51
604,2022-02-11,Pressure occur list common.,Other,3205.0
605,2022-02-14,Peace race i.,Rent,1365.57
606,2022-02-17,Real any little environmental.,Investment,3833.0
608,2022-02-17,Successful teach range.,Other,3131.0
609,2022-02-17,Feel season similar.,Food,1816.79
610,2022-02-18,Rock painting become.,Investment,4883.0
611,2022-02-21,Tree imagine machine.,Food,1827.33
612,2022-02-22,Start middle city find.,Investment,797.0
613,2022-02-22,Career surface these ahead.,Shopping,1578.04
614,2022-02-25,Student economic lead.,Other,806.0
615,2022-02-27,Ever statement measure.,Investment,3244.0
617,2022-03-02,Whether listen necessary.,Other,2735.0
618,2022-03-04,Study else store.,Investment,3208.0
619,2022-03-05,Agree anyone take.,Other,2607.0
620,2022-03-07,Positive question especially.,Food,1475.87
621,2022-03-07,After sister should across treatment.,Other,359.23
622,2022-03-12,Song difference part wall require.,Shopping,1655.71
623,2022-03-14,Time surface learn design.,Rent,807.66
624,2022-03-17,Station however bill memory production.,Investment,4411.0
625,2022-03-17,Positive participant fear blue as.,Other,23.59
627,2022-03-18,Change she tonight.,Travel,1169.1
628,2022-03-18,Race return pretty young.,Travel,1310.83
629,2022-03-20,Identify say on yes.,Food,1338.89
630,2022-03-20,Risk develop movement size.,Utilities,816.78
631,2022-03-22,Feel color price next.,Travel,1383.68
632,2022-03-23,Likely scientist.,Travel,741.41
633,2022-03-23,Water tonight pressure.,Utilities,961.58
634,2022-03-24,Development the inside thought.,Health,837.53
636,2022-03-26,Oil per line create build.,Other,1526.1
637,2022-03-27,Fear approach take case customer.,Rent,1055.76
638,2022-03-28,Throughout would century television congress.,Health,165.42
639,2022-03-28,Forward would finish around.,Food,1659.26
640,2022-03-28,Decide similar office.,Other,1149.68
641,2022-03-28,Size sister can its.,Other,4762.0
642,2022-03-29,Investment local above move.,Other,1436.67
644,2022-03-31,Adult above safe.,Shopping,919.03
645,2022-03-31,Fine bill me fill.,Other,3024.0
646,2022-03-31,Fear fact.,Shopping,516.37
647,2022-04-01,Model its rather card you.,Investment,1098.0
648,2022-04-01,Seek close trade speech.,Other,1022.0
649,2022-04-01,Difference world deep.,Food,1869.82
650,2022-04-01,Mean but represent society heart.,Other,759.0
651,2022-04-02,Perhaps order answer blue structure.,Utilities,1540.25
652,2022-04-02,Indicate herself.,Shopping,755.18
654,2022-04-03,Inside big minute.,Shopping,169.7
655,2022-04-04,Store bit responsibility brother.,Utilities,1310.53
656,2022-04-05,Marriage participant.,Utilities,1985.77
657,2022-04-08,Win group important civil nature.,Utilities,1458.44
658,2022-04-09,Former able public trade.,Food,1514.8
660,2022-04-10,Popular lead with.,Shopping,1648.49
661,2022-04-10,Anyone spend them system.,Health,318.69
662,2022-04-16,International break surface three.,Investment,763.0
663,2022-04-18,Professional color group.,Shopping,1233.7
664,2022-04-18,Environmental run head garden box.,Food,488.93
665,2022-04-21,Even history surface son.,Investment,4157.0
666,2022-04-22,Car risk.,Food,497.02
667,2022-04-22,Indeed opportunity.,Other,2419.0
668,2022-04-24,Consider here grow agreement.,Food,288.87
669,2022-04-24,Turn both in animal.,Other,1633.41
670,2022-04-29,Actually than modern season.,Health,1159.17
671,2022-04-30,Within prove full.,Health,481.44
672,2022-05-02,Believe product eat generation put.,Other,832.98
673,2022-05-02,Stuff next write.,Utilities,1255.73
675,2022-05-05,Thank avoid man drive.,Shopping,1573.75
676,2022-05-05,Medical nearly.,Shopping,822.44
677,2022-05-06,Stage bad know of.,Utilities,1511.29
678,2022-05-07,Language budget market president.,Other,608.47
680,2022-05-07,None pressure lay future stay.,Shopping,1119.0
681,2022-05-08,Forward should outside respond.,Investment,2588.0
682,2022-05-08,Box service develop game.,Rent,1845.23
683,2022-05-09,Miss reduce animal clearly cell.,Rent,1075.91
684,2022-05-09,Effect cultural.,Food,544.24
685,2022-05-11,Democratic station course full.,Food,1748.5
686,2022-05-13,Unit study.,Investment,4427.0
687,2022-05-13,Leader operation mean white.,Health,613.34
688,2022-05-14,Save network item one under.,Other,1874.95
689,2022-05-19,Community spring billion price paper.,Rent,1496.29
690,2022-05-19,Thing industry participant realize.,Other,1394.3
691,2022-05-20,Huge garden family.,Shopping,1831.1
692,2022-05-20,Include record security.,Travel,767.52
693,2022-05-22,Team republican very plan cut.,Health,623.76
696,2022-05-24,Old wall report purpose.,Other,747.7
697,2022-05-25,There institution actually.,Other,1485.09
698,2022-05-27,Herself apply.,Other,2918.0
699,2022-05-28,Environment size worker.,Other,2384.0
700,2022-05-29,Style real far.,Other,1003.61
701,2022-05-29,Grow laugh.,Health,522.08
703,2022-05-30,Unit hold.,Health,346.84
705,2022-06-01,Treatment relate positive.,Food,1052.65
706,2022-06-01,Cultural right cover large work.,Rent,1890.92
707,2022-06-04,While same budget.,Food,830.66
708,2022-06-04,Evidence enough claim suffer.,Other,145.26
709,2022-06-06,Letter visit always up.,Investment,4642.0
710,2022-06-07,Past product make of group.,Food,1239.49
712,2022-06-11,Begin determine degree forward.,Other,597.0
713,2022-06-11,Despite sell most.,Other,4888.0
714,2022-06-12,Boy generation.,Food,1009.41
715,2022-06-12,Truth during always those high.,Shopping,1614.27
716,2022-06-12,Either rich agency might.,Rent,1836.92
717,2022-06-13,Sort knowledge analysis together court.,Other,391.94
718,2022-06-17,Way cold.,Health,541.98
719,2022-06-17,Account assume prove similar ten.,Health,1919.0
720,2022-06-18,Day stock.,Other,1980.56
721,2022-06-19,Section child.,Rent,1310.93
722,2022-06-20,Also available concern edge.,Food,196.07
724,2022-06-21,Hope brother.,Investment,1177.0
725,2022-06-23,As second animal summer group.,Shopping,1293.37
726,2022-06-23,Face rate.,Rent,1790.63
727,2022-06-25,She join house.,Other,430.72
729,2022-06-26,Whether century quality.,Travel,1799.63
730,2022-06-26,Network never.,Food,366.92
731,2022-06-30,Above others.,Food,1923.32
732,2022-07-01,Water fight security tough gas.,Shopping,1858.46
733,2022-07-02,Central contain pattern education boy.,Other,1137.72
734,2022-07-04,Surface usually.,Health,773.85
735,2022-07-04,Popular available public economy.,Rent,1006.58
736,2022-07-04,Maintain former campaign pretty beyond.,Food,204.39
737,2022-07-05,Fish late pattern.,Rent,687.78
738,2022-07-06,Charge note space when collection.,Shopping,1938.15
739,2022-07-13,Size republican political.,Travel,1569.26
740,2022-07-17,Care run there leg.,Other,718.06
741,2022-07-17,Main board population.,Shopping,379.62
742,2022-07-17,Teach cause mrs.,Shopping,180.53
743,2022-07-18,Baby away affect medical all.,Other,1429.09
744,2022-07-18,If operation trade necessary myself.,Investment,3612.0
745,2022-07-19,President chance hotel through.,Utilities,1481.91
746,2022-07-20,Let member however.,Rent,192.13
748,2022-07-25,Cell city not not the.,Utilities,183.72
749,2022-07-27,Voice american seven discussion.,Shopping,215.55
750,2022-07-27,Doctor protect military social.,Investment,3157.0
751,2022-07-27,Truth thing always possible.,Food,590.78
752,2022-07-27,Plant event score official now.,Rent,1452.44
753,2022-07-28,Half president structure might.,Other,1148.2
754,2022-07-28,Might good test.,Other,1888.0
755,2022-07-29,Thought according think key.,Other,2698.0
756,2022-07-30,Method exactly.,Rent,342.74
757,2022-07-31,Church own stage.,Travel,973.62
758,2022-08-02,Specific result loss long.,Other,2520.0
760,2022-08-03,Picture always occur.,Investment,1609.0
761,2022-08-04,Election conference when.,Shopping,671.11
762,2022-08-06,These road.,Health,886.04
763,2022-08-07,Describe paper.,Utilities,607.87
764,2022-08-12,Color store over some.,Other,963.23
765,2022-08-13,Process enough right garden law.,Other,3114.0
767,2022-08-15,Range step painting concern.,Health,758.35
768,2022-08-16,Me brother lot candidate owner.,Shopping,736.38
769,2022-08-16,Miss have analysis morning.,Other,1188.53
770,2022-08-17,Smile high open scientist.,Food,1906.48
771,2022-08-18,International effort.,Other,882.53
772,2022-08-19,Exist theory.,Rent,1639.74
773,2022-08-21,Country remember smile.,Shopping,1349.23
774,2022-08-21,Brother according pressure reach firm.,Other,2482.0
775,2022-08-22,Choice prepare.,Utilities,1433.32
776,2022-08-22,Talk interest hand.,Rent,903.64
777,2022-08-23,Sense including six lot.,Shopping,1073.39
778,2022-08-24,Never effect fill general relationship.,Shopping,1091.85
779,2022-08-26,Security land record.,Health,1406.25
780,2022-08-26,Democrat hundred.,Rent,227.65
781,2022-08-28,Pass range appear home player.,Health,341.01
782,2022-08-29,Likely outside because.,Shopping,1933.95
783,2022-08-30,He participant right.,Shopping,220.83
784,2022-08-31,Prevent expert white arm similar.,Investment,4683.0
785,2022-08-31,Keep cut prevent sound.,Other,897.1
786,2022-09-01,Almost outside middle.,Utilities,696.49
787,2022-09-02,College already dream a church.,Investment,2920.0
788,2022-09-03,Good house only military.,Rent,240.98
789,2022-09-03,Near risk.,Utilities,703.17
790,2022-09-03,Give white everybody paper create.,Other,1047.02
791,2022-09-04,Above company media next me.,Rent,881.95
792,2022-09-04,Sort what.,Health,143.68
793,2022-09-05,Economic kind help low during.,Investment,685.0
794,2022-09-06,Race to television loss.,Rent,1357.51
795,2022-09-07,Him small.,Investment,4727.0
796,2022-09-08,Son include good.,Investment,3211.0
798,2022-09-11,Human see.,Utilities,380.91
799,2022-09-11,Never condition.,Shopping,68.09
800,2022-09-12,Despite off consumer second.,Other,904.65
801,2022-09-14,Say dog drug enter.,Food,1412.42
802,2022-09-15,Strong student green.,Rent,1158.92
803,2022-09-15,Turn put professional.,Utilities,737.93
804,2022-09-17,When summer he firm together.,Investment,2649.0
806,2022-09-19,Develop office approach son.,Shopping,1226.5
807,2022-09-19,Allow girl team simply lead.,Health,710.45
808,2022-09-21,Least ready activity decision ok.,Utilities,1629.34
809,2022-09-23,Party employee nature down.,Travel,1838.18
810,2022-09-26,Gas contain interest industry sell.,Utilities,633.24
811,2022-09-26,Evidence conference capital office.,Rent,374.26
812,2022-09-28,Result sound.,Shopping,842.3
813,2022-09-29,Task cultural son school.,Other,3965.0
814,2022-09-29,Computer matter.,Investment,1866.0
815,2022-09-30,Result size feel no nothing.,Utilities,382.33
816,2022-10-01,Real art.,Food,1732.39
820,2022-10-04,Simple land bad party.,Investment,2306.0
821,2022-10-05,What than political up instead.,Travel,457.44
824,2022-10-12,Security minute late cold.,Investment,2694.0
825,2022-10-12,Road product wait.,Health,1088.67
827,2022-10-19,Approach side model you billion.,Rent,1474.62
828,2022-10-19,Pressure those.,Other,602.44
830,2022-10-21,Stuff agreement professional team foot.,Rent,883.75
831,2022-10-22,Window music evening know.,Other,427.66
832,2022-10-23,Opportunity lead see.,Health,1723.49
833,2022-10-25,Model police finally girl.,Shopping,340.3
834,2022-10-28,Source kind hand.,Investment,2195.0
835,2022-10-30,Field a spring.,Health,1069.24
836,2022-10-31,Expert movement reach man.,Utilities,654.07
837,2022-11-03,Across involve fall.,Travel,1149.74
838,2022-11-04,Nature country.,Rent,279.82
839,2022-11-05,House clear say hope.,Shopping,1838.35
840,2022-11-07,Enjoy instead dream.,Utilities,1405.84
841,2022-11-07,Possible mother especially.,Investment,3138.0
842,2022-11-09,Consumer face.,Shopping,984.02
843,2022-11-10,Laugh red man fly charge.,Travel,1259.35
844,2022-11-13,Control bill.,Rent,1270.92
845,2022-11-14,Resource road do.,Rent,811.67
846,2022-11-14,Management game.,Health,914.84
847,2022-11-15,Your less social form.,Food,1739.13
848,2022-11-17,Entire hotel.,Rent,1464.55
849,2022-11-17,Consider time economic high.,Health,1701.71
850,2022-11-18,Window research his.,Shopping,443.48
851,2022-11-19,Scene almost leave.,Other,994.48
852,2022-11-21,Program decade home which view.,Travel,682.13
854,2022-11-26,Growth appear project.,Food,101.43
856,2022-11-28,Build smile across among situation.,Utilities,888.16
857,2022-11-28,Choice side eat matter rather.,Other,2157.0
858,2022-12-01,Art green child movie blue.,Utilities,1765.47
859,2022-12-03,First next popular.,Travel,195.75
860,2022-12-04,Run again help right.,Rent,749.97
861,2022-12-05,Magazine join.,Utilities,113.06
862,2022-12-05,Recent couple cost girl run.,Other,864.17
863,2022-12-07,Trial never attention choice fast.,Investment,508.0
864,2022-12-12,Happen a point here control.,Rent,274.07
866,2022-12-15,Couple raise she child.,Rent,1976.43
867,2022-12-16,Important focus benefit probably.,Utilities,960.62
868,2022-12-18,Condition all blood.,Rent,1464.22
869,2022-12-22,All politics.,Other,3511.0
870,2022-12-28,Moment red eight hand.,Utilities,771.61
871,2022-12-30,Us decade.,Utilities,1286.74
872,2022-12-31,Life police.,Rent,1065.71
873,2023-01-03,Sea three state some around.,Investment,4105.0
874,2023-01-04,American audience fight war whether.,Other,1259.88
875,2023-01-04,Rise mother.,Other,4124.0
876,2023-01-06,Moment eat personal.,Rent,1794.22
877,2023-01-09,See indeed black police group.,Investment,3645.0
878,2023-01-10,Third coach congress husband.,Shopping,635.86
879,2023-01-11,Move outside value.,Other,1190.0
880,2023-01-13,Yard foot he share issue.,Travel,1560.15
881,2023-01-15,Drive nation heart nearly season.,Travel,418.84
882,2023-01-16,Language however risk work.,Other,1498.21
883,2023-01-17,Career three according worker democrat.,Food,1569.77
884,2023-01-18,Sign wall.,Other,994.83
885,2023-01-19,Memory number occur behind leave.,Other,1081.0
886,2023-01-19,Enter threat economic.,Food,1973.9
887,2023-01-19,Begin hundred truth.,Utilities,779.81
888,2023-01-19,Society common stay ready.,Shopping,737.17
890,2023-01-20,Bad argue side girl.,Food,1178.85
891,2023-01-21,Us building side section.,Investment,826.0
892,2023-01-21,Him fight american music change.,Shopping,1018.16
893,2023-01-22,Check purpose young.,Shopping,852.91
894,2023-01-23,Offer bed it skill challenge.,Utilities,562.16
895,2023-01-23,Live seat.,Other,1948.88
896,2023-01-23,Energy huge its recently.,Other,3700.0
897,2023-01-24,Nice maintain present cultural.,Rent,627.24
898,2023-01-24,Drug entire involve.,Other,125.23
899,2023-01-24,Both including.,Other,1450.0
900,2023-01-24,Couple general pretty show.,Food,625.49
901,2023-01-24,Pattern wrong kind certainly.,Utilities,247.69
902,2023-01-24,Current health serious.,Food,336.03
903,2023-01-25,Science drug.,Travel,342.26
904,2023-01-26,Add really born.,Other,1467.0
905,2023-01-27,Age decade mrs data.,Food,676.67
906,2023-01-27,Nature performance yeah.,Rent,533.27
907,2023-01-28,On professional analysis color.,Rent,997.33
908,2023-01-29,Smile peace apply.,Food,1004.22
909,2023-01-29,Home even.,Health,323.05
910,2023-01-30,Affect test.,Rent,464.52
911,2023-01-31,Woman meet report.,Food,1718.79
912,2023-01-31,Term mother cost may.,Investment,4364.0
913,2023-02-01,Unit again easy morning four.,Utilities,366.13
914,2023-02-02,Adult range green.,Food,1110.2
915,2023-02-03,You without every.,Shopping,456.79
916,2023-02-06,Election hit yourself wrong want.,Health,549.8
917,2023-02-07,Charge today prevent.,Other,1478.0
918,2023-02-07,Minute question their rather.,Food,366.9
919,2023-02-08,Of interview fine.,Food,1908.62
920,2023-02-08,My deal catch must.,Other,2812.0
921,2023-02-09,Finally relate model.,Travel,661.33
922,2023-02-12,Yet wish certain usually.,Food,744.15
923,2023-02-13,Attack mouth rest contain.,Travel,1481.76
924,2023-02-15,She they.,Health,1187.46
925,2023-02-16,Field seat start pm.,Other,1467.6
926,2023-02-18,Single blood continue.,Other,309.63
927,2023-02-20,Note discuss discussion reach grow.,Food,473.67
928,2023-02-20,Maybe painting republican.,Food,1902.47
929,2023-02-22,System man case.,Other,3019.0
930,2023-02-22,Allow share address.,Investment,3939.0
931,2023-02-24,Development provide dark daughter.,Food,1945.39
932,2023-02-26,Term majority foot leader.,Other,1262.0
933,2023-02-26,If among save herself.,Investment,4757.0
934,2023-02-26,Particularly score order modern.,Health,922.33
935,2023-02-28,Body lead there there early.,Rent,1015.8
936,2023-03-03,Worker always hold share.,Shopping,158.91
937,2023-03-03,Fact huge fight.,Shopping,1328.26
938,2023-03-05,Coach family try ready.,Other,2638.0
939,2023-03-05,Stop later reveal both.,Shopping,1404.44
940,2023-03-05,Career including late condition opportunity.,Health,910.99
941,2023-03-07,Bed food possible represent.,Other,280.86
942,2023-03-08,Before relationship plant.,Rent,319.27
943,2023-03-08,Religious risk window partner civil.,Other,3072.0
944,2023-03-08,Analysis color friend the.,Health,1929.62
945,2023-03-08,Than condition republican.,Travel,932.06
946,2023-03-10,Finally shoulder land.,Rent,323.65
947,2023-03-10,Together whether about.,Food,437.89
948,2023-03-12,Learn talk.,Utilities,191.51
949,2023-03-13,Part management.,Health,798.53
950,2023-03-13,Process law kind over according.,Other,2631.0
951,2023-03-13,People newspaper stay.,Utilities,71.85
953,2023-03-15,Study fear turn any indicate.,Rent,929.47
954,2023-03-16,Public particularly reality.,Utilities,251.69
955,2023-03-16,Concern lay often use behavior.,Investment,1570.0
956,2023-03-18,Happy her attack interview.,Other,3549.0
957,2023-03-18,Fall care.,Rent,1168.82
958,2023-03-21,Money modern receive partner.,Rent,53.38
959,2023-03-22,Role pick would low read.,Other,1555.0
960,2023-03-23,Participant first moment yet.,Other,1503.0
961,2023-03-23,Pass market role.,Other,914.0
962,2023-03-23,Space this discussion fact.,Other,3735.0
963,2023-03-24,Brother let.,Shopping,1369.59
964,2023-03-27,Son yourself increase.,Investment,2033.0
966,2023-03-30,So film media.,Investment,2917.0
968,2023-03-31,Pattern ahead compare form full.,Utilities,844.28
969,2023-04-01,Something population loss physical.,Other,1265.2
970,2023-04-01,Leg sport until argue.,Food,1978.91
971,2023-04-04,North question new.,Health,964.57
972,2023-04-07,Officer forward trouble.,Health,1826.23
973,2023-04-08,Wide exactly.,Shopping,548.17
974,2023-04-09,Worker phone success number.,Investment,740.0
975,2023-04-10,Organization ten seem.,Travel,126.6
976,2023-04-10,Even beautiful.,Health,1536.02
977,2023-04-13,Later week democratic few.,Utilities,209.27
978,2023-04-15,Size sing tree kitchen.,Travel,1072.04
979,2023-04-16,Toward child future low.,Food,1530.46
980,2023-04-20,Simply century the.,Shopping,716.06
981,2023-04-20,Day already hold.,Utilities,360.44
982,2023-04-21,About usually.,Health,1828.82
983,2023-04-22,Level animal minute probably.,Other,1664.0
984,2023-04-22,Officer fine.,Other,1675.03
986,2023-04-24,Chance event address.,Investment,1239.0
987,2023-04-25,Bill my near even wall.,Investment,663.0
988,2023-05-02,Each author party full kitchen.,Food,670.15
989,2023-05-02,Likely push.,Utilities,688.11
990,2023-05-03,Approach interview condition other.,Other,987.0
991,2023-05-05,Green forward cup serve speak.,Investment,1408.0
992,2023-05-05,Nothing behavior sort recognize.,Health,1921.51
993,2023-05-05,Financial popular short like.,Shopping,1176.17
994,2023-05-07,Technology pay tree.,Health,281.54
995,2023-05-12,Record professor small.,Other,4491.0
996,2023-05-14,Maintain assume both long.,Utilities,1417.29
997,2023-05-14,Should page camera.,Health,454.24
998,2023-05-14,Stage someone for power.,Utilities,762.98
999,2023-05-15,Leave opportunity draw during city.,Travel,263.42
1000,2023-05-15,At decade really issue.,Shopping,1703.01
1001,2023-05-16,Skin name door production back.,Food,372.34
1002,2023-05-17,Boy other foot best.,Other,1282.9
1003,2023-05-18,Final image our.,Other,1652.0
1004,2023-05-19,Management produce bed stage.,Rent,483.61
1005,2023-05-20,Serious produce.,Utilities,1276.01
1006,2023-05-20,Factor past language day theory.,Health,898.79
1007,2023-05-20,Some quickly truth view response.,Other,1389.42
1008,2023-05-22,Old particularly.,Rent,1443.62
1009,2023-05-22,Summer system artist too.,Other,3937.0
1010,2023-05-22,Reflect star.,Shopping,991.23
1011,2023-05-25,Technology tend.,Shopping,211.84
1012,2023-05-28,Reduce hour fish him.,Other,333.69
1013,2023-05-29,Nation production little could.,Investment,2915.0
1014,2023-05-29,Style child young prove.,Other,1357.0
1015,2023-05-30,Author administration.,Investment,3575.0
1016,2023-06-02,Window career case south.,Investment,4981.0
1017,2023-06-03,Us perhaps lawyer interest star.,Rent,682.52
1019,2023-06-05,Especially unit office almost.,Utilities,1218.56
1020,2023-06-08,Low happy oil which bag.,Food,211.5
1021,2023-06-08,Let back three.,Other,824.47
1022,2023-06-09,Line score whether.,Travel,1324.59
1023,2023-06-09,Something fine apply gas sing.,Rent,108.77
1025,2023-06-10,Cold reason our.,Shopping,184.38
1027,2023-06-15,Agree machine camera baby six.,Investment,2890.0
1029,2023-06-16,Company option character land space.,Shopping,947.18
1030,2023-06-17,Machine son television.,Travel,191.36
1031,2023-06-17,Whose other.,Utilities,748.33
1032,2023-06-19,Sell include himself produce.,Utilities,897.09
1034,2023-06-22,Apply less.,Food,310.75
1035,2023-06-22,Live way two.,Rent,180.56
1036,2023-06-23,Raise hope enjoy most.,Shopping,1941.7
1037,2023-06-25,Eye something.,Food,1683.19
1038,2023-06-25,Which raise american truth.,Shopping,1931.6
1040,2023-06-26,Pressure hospital significant.,Travel,167.12
1041,2023-06-30,Side mind question year finish.,Food,1009.18
1042,2023-07-01,Story activity.,Utilities,249.36
1043,2023-07-02,Billion land detail exist cover.,Utilities,1898.63
1044,2023-07-05,Begin voice prevent structure wear.,Investment,2078.0
1045,2023-07-05,Beat painting heavy.,Other,1141.0
1046,2023-07-06,To receive education.,Shopping,411.82
1047,2023-07-07,Police two.,Utilities,1669.88
1048,2023-07-07,Realize property show either.,Rent,183.18
1049,2023-07-10,Since him four.,Health,1714.68
1050,2023-07-10,Western enough key.,Food,1575.24
1051,2023-07-10,Particular condition man.,Shopping,233.91
1052,2023-07-10,Shoulder despite poor tree resource.,Investment,1365.0
1053,2023-07-11,Authority number.,Rent,1573.63
1054,2023-07-13,Affect marriage present a.,Health,1757.01
1056,2023-07-15,Long identify road speech.,Utilities,558.07
1057,2023-07-15,Difficult his ready sister building.,Other,817.0
1058,2023-07-15,Four field area young.,Health,1384.12
1059,2023-07-15,Movement which ball least.,Other,2700.0
1060,2023-07-16,Computer always his.,Food,682.35
1061,2023-07-17,Receive to piece.,Travel,567.89
1062,2023-07-18,Be plan same cause.,Rent,1945.27
1063,2023-07-19,Rest or.,Travel,1948.7
1064,2023-07-19,As music film move.,Health,546.15
1065,2023-07-20,Already argue.,Rent,383.99
1066,2023-07-21,Brother southern project learn.,Shopping,1484.48
1067,2023-07-23,Scientist do author.,Health,1643.82
1068,2023-07-25,President likely truth animal.,Utilities,140.58
1069,2023-07-26,Common anyone.,Shopping,279.94
1070,2023-07-27,Lay color.,Food,355.74
1071,2023-07-27,Box organization.,Other,1675.58
1073,2023-08-01,Building range national focus.,Other,555.22
1074,2023-08-04,Or friend.,Shopping,1274.47
1075,2023-08-05,Center indeed recent.,Investment,2481.0
1077,2023-08-07,Partner sing administration main according.,Health,695.06
1078,2023-08-09,Religious order.,Travel,1500.43
1079,2023-08-09,Really society live camera.,Travel,64.63
1080,2023-08-10,Mission include visit.,Investment,2313.0
1081,2023-08-10,Conference matter wear physical site.,Other,545.48
1082,2023-08-11,Above dog brother morning.,Food,1730.61
1083,2023-08-16,Gun seven music despite show.,Food,953.45
1084,2023-08-17,Apply both chance.,Investment,569.0
1085,2023-08-17,Computer prove amount population.,Travel,1428.35
1086,2023-08-21,Itself free source.,Travel,853.38
1087,2023-08-22,Bit appear.,Health,923.41
1088,2023-08-23,Citizen ahead method.,Travel,1357.62
1089,2023-08-25,Return or for.,Shopping,1173.13
1090,2023-08-27,Discover body direction down.,Other,2815.0
1091,2023-08-30,Heart determine likely.,Rent,968.66
1092,2023-08-30,Three certain.,Travel,1284.78
1093,2023-08-30,Hold carry rest.,Travel,1315.68
1094,2023-08-30,Dark camera realize.,Travel,384.84
1095,2023-09-01,Carry surface learn.,Other,1800.38
1096,2023-09-01,Detail far church some.,Shopping,1324.46
1097,2023-09-03,Wife talk beat tax majority.,Food,1314.25
1098,2023-09-04,List leg address into their.,Travel,1814.75
1099,2023-09-04,Its develop until watch.,Food,1170.22
1100,2023-09-04,Individual analysis.,Other,692.9
1102,2023-09-10,Manager bar send really.,Travel,1692.38
1103,2023-09-11,Car fast positive.,Utilities,594.63
1104,2023-09-11,Look fight.,Travel,1453.12
1105,2023-09-12,Section agency lawyer sign them.,Utilities,1894.38
1106,2023-09-12,Smile have less.,Rent,452.28
1107,2023-09-13,Audience throw four allow international.,Travel,846.74
1108,2023-09-14,My some skin ball thing.,Health,528.51
1109,2023-09-14,War push thousand book half.,Rent,946.37
1110,2023-09-14,Hand possible relate night.,Rent,949.72
1111,2023-09-15,Wonder draw box.,Investment,3626.0
1112,2023-09-15,That reflect send set fly.,Shopping,117.58
1113,2023-09-16,Quite everyone as generation.,Utilities,1984.77
1115,2023-09-21,Later happy pull.,Utilities,1560.09
1116,2023-09-21,Throughout leader bag.,Utilities,633.69
1117,2023-09-23,When baby clearly.,Other,2740.0
1118,2023-09-24,Many themselves minute.,Utilities,1156.8
1119,2023-09-28,Indicate radio use.,Investment,1560.0
1120,2023-09-29,Information scene again country.,Shopping,812.75
1121,2023-10-03,Strong mind from.,Shopping,19.29
1122,2023-10-04,Pretty skin main program.,Health,1900.64
1123,2023-10-04,Knowledge fight car smile commercial.,Other,45.65
1124,2023-10-05,Machine wife show.,Investment,2353.0
1125,2023-10-06,Good lay coach.,Health,631.06
1126,2023-10-08,Expect win stuff realize project.,Other,1868.0
1127,2023-10-08,Draw american first.,Investment,2942.0
1129,2023-10-09,Challenge large wish move.,Health,872.99
1130,2023-10-09,Identify material.,Utilities,692.04
1131,2023-10-11,Until choose wife national.,Health,1502.73
1132,2023-10-13,Positive far time wide.,Other,656.0
1133,2023-10-14,Son rock two.,Utilities,430.27
1134,2023-10-14,Rule too.,Investment,1508.0
1135,2023-10-15,Bring agent pay detail group.,Food,756.63
1136,2023-10-15,Part crime.,Food,1191.91
1137,2023-10-16,Sit short cultural.,Investment,661.0
1138,2023-10-17,Support quality whatever wish hour.,Investment,3914.0
1139,2023-10-17,Owner memory argue project.,Rent,1099.09
1140,2023-10-27,Respond into history.,Utilities,418.93
1141,2023-10-27,General final knowledge.,Food,609.22
1142,2023-10-29,Democratic thousand.,Travel,1249.37
1143,2023-10-30,Eye south wife interest.,Shopping,1663.0
1144,2023-10-30,Structure our century.,Investment,2815.0
1145,2023-11-04,Write moment friend value.,Investment,4577.0
1146,2023-11-05,According police.,Investment,2654.0
1147,2023-11-08,Company left nothing trip.,Other,722.26
1148,2023-11-08,Strategy face make.,Utilities,88.42
1149,2023-11-08,Fight nice less agree able.,Other,1379.53
1150,2023-11-09,What strong line.,Other,15.45
1151,2023-11-09,Conference trade population agreement.,Rent,1672.11
1152,2023-11-11,Yes at seat ok.,Utilities,1899.4
1153,2023-11-11,Than physical live reason.,Rent,1449.89
1154,2023-11-13,Mention offer suddenly clear.,Other,2393.0
1155,2023-11-14,Floor there career.,Travel,535.61
1156,2023-11-14,Evening information.,Investment,823.0
1157,2023-11-15,Face morning.,Health,1605.18
1158,2023-11-17,Create physical share out cold.,Rent,199.05
1159,2023-11-18,Step rate feeling rate.,Food,29.25
1160,2023-11-21,Move goal.,Investment,3192.0
1162,2023-11-22,Future treat bill choice.,Rent,751.52
1163,2023-11-23,Somebody next ready.,Rent,807.55
1164,2023-11-23,Republican reduce sort individual trouble.,Travel,1673.06
1166,2023-11-26,Stage threat our.,Utilities,234.98
1167,2023-11-26,Report agreement sport.,Food,1963.32
1168,2023-11-26,Task central dinner.,Rent,837.9
1170,2023-11-27,Affect machine.,Health,1226.6
1171,2023-11-28,Cultural allow.,Utilities,971.33
1172,2023-11-28,Arrive budget education at property.,Shopping,886.97
